MOVIE_EARNINGS_RANK;MOVIE_GENRE;MOVIE_NAME;MOVIE_RATING;MOVIE_RUNTIME;MOVIE_YEAR;PERSON_DOB;PERSON_NAME;PERSON_POB;MID;REV
;ACYH;Gremlins;PG;106;1984;1963-07-16;Phoebe Cates;New York, New York, USA;d9e6a7ae2363d6cfe81af75a392a7665;1-16ea10b053f11cdad277818d9fb085ef
;D;Children of a Lesser God;R;119;1986;1932-01-22;Piper Laurie;Detroit, Michigan, USA;d9e6a7ae2363d6cfe81af75a392aafb0;1-a41d7d3bc290c53561d9782e9c6d96a6
;CD;Cheaper by the Dozen;PG;98;2003;1977-10-31;Piper Perabo;Toms River, New Jersey, USA;d9e6a7ae2363d6cfe81af75a392ab3da;1-060cb33676c907c723b256424fd5ae4b
;CD;Lilies of the Field;;94;1963;;Lisa Mann;;d9e6a7ae2363d6cfe81af75a391b8a84;1-5dde4a4e2efb156f60badc298bbcda0e
;D;Alice Doesn't Live Here Anymore;PG;112;1974;;Lelia Goldoni;New York, New York, USA;d9e6a7ae2363d6cfe81af75a3919bb8e;1-cc0d93e75cca7196ff5c74ee14e0dd8c
;D;Save the Tiger;R;100;1973;;Laurie Heineman;;d9e6a7ae2363d6cfe81af75a39193d1e;1-8986eb68687f2273aa651fa26f98655c
;C;Anger Management;PG-13;106;2003;;Jonathan Loughran;;d9e6a7ae2363d6cfe81af75a3911eb45;1-1d3bb9f68c1761e7d35fa192b85bd9a0
;AC;Talladega Nights: The Ballad of Ricky Bobby;PG-13;108;2006;;Lorrie Bess Crumley;;d9e6a7ae2363d6cfe81af75a391c01dd;1-3c6479b8bb984c964005e9dee7bba3fc
;NCFT;One Hundred and One Dalmatians;G;79;1961;;Lisa Daniels;;d9e6a7ae2363d6cfe81af75a391b74be;1-7169e5e7242bbccad00aed4038f0327a
;D;There Will Be Blood;R;158;2008;;Joseph Mussey;;d9e6a7ae2363d6cfe81af75a391283f1;1-eb4890affc784c005937aa3a072e0122
;D;Alice Doesn't Live Here Anymore;PG;112;1974;;Mia Bendixsen;;d9e6a7ae2363d6cfe81af75a39212f99;1-99582f42e6cd52e57e85f60a518f2f2b
;CH;Scary Movie;R;88;2000;;Kyle Graham;;d9e6a7ae2363d6cfe81af75a39186c22;1-f852ce7ac6c9892120173507f2a4ced3
;AST;Matrix Revolutions, The;R;129;2003;;Tanveer K. Atwal;;d9e6a7ae2363d6cfe81af75a39373cbd;1-5f2d3848d2650b75bbbbd1a2c8b2459e
;D;Coal Miner's Daughter;PG;125;1980;;Phyllis Boyens;;d9e6a7ae2363d6cfe81af75a392a7dfd;1-1c4076c15a63ce8caa4a215273779651
;D;The King's Speech;R;118;2010;;Richard Dixon;;d9e6a7ae2363d6cfe81af75a392d4844;1-16f810c619f2b59be11cf08150f58ec8
;C;Mighty Aphrodite;R;98;1995;;Rene Ceballos;;d9e6a7ae2363d6cfe81af75a392c7aee;1-51cfa85c3b08fce58fc390cd2026a352
;D;Capote;R;114;2005;;Kelci Stephenson;;d9e6a7ae2363d6cfe81af75a39165ce4;1-988358b3973b4d946bb16749af7f2166
;CDRW;Vita e bella, La;PG-13;122;1997;;Sergio Bini Bustric;;d9e6a7ae2363d6cfe81af75a3933e940;1-a01a9f8ad6ad4147c48119ad35120702
;CDYR;Fisher King, The;R;137;1991;;Paul J. Lombardi;;d9e6a7ae2363d6cfe81af75a392835d3;1-ff4420c08b3d07917be743d29caa249b
;ACT;Rush Hour;PG-13;97;1998;;Robert Littman;;d9e6a7ae2363d6cfe81af75a392f3ace;1-6236dcde1f5492a88bc51fc39974b08b
;ADW;Braveheart;R;177;1995;;Sandy Nelson;;d9e6a7ae2363d6cfe81af75a39330ca7;1-0e107e73ca1483b55796190cf5e2b1ea
;AVT;XXX;PG-13;124;2002;;Michael Roof;;d9e6a7ae2363d6cfe81af75a39223d17;1-c94be5fdf85d6d7efb438821bcbd9e5a
;D;The Fighter;R;116;2010;;Mickey O'Keefe;;d9e6a7ae2363d6cfe81af75a39229df4;1-67f955990b6908a879b08787e889ae5b
;CD;Paper Moon;PG;102;1973;;P.J. Johnson;;d9e6a7ae2363d6cfe81af75a3926dc75;1-c5db9293b663dd08de27cda251351086
;D;The Iron Lady;PG-13;105;2012;;Phoebe Waller-Bridge;;d9e6a7ae2363d6cfe81af75a392a7cbc;1-4d3fd5c03cd71138cb821953b8dfd82d
160;CR;Hitch;PG-13;118;2005;;Julie Ann Emery;Crossville, Tennessee, USA;d9e6a7ae2363d6cfe81af75a3914317a;1-c267e0d4734d7d18629d8afee4a625b7
;DR;On the Waterfront;;108;1954;1911-01-01;Pat Henning;;d9e6a7ae2363d6cfe81af75a39270ea0;1-aad255a9f7bf75f04aa6397739509f3b
;D;I Want to Live!;;120;1958;1924-01-01;Virginia Vincent;;d9e6a7ae2363d6cfe81af75a393cf4cc;1-1f1c081fa1150094dd0ce6e22ef95416
37;AVYS;Star Wars: Episode VI - Return of the Jedi;PG;134;1983;1956-10-21;Carrie Fisher;Beverly Hills, Los Angeles, California, USA;70f6284d2a395396dbb3a60b4ced546f;1-c0deef23387f20dc193fb2d4ac7b0cc2
199;DFL;Sound of Music, The;G;174;1965;1927-12-13;Christopher Plummer;Toronto, Ontario, Canada;70f6284d2a395396dbb3a60b4cf0b9cc;1-a04affd7d91cc6a6f98376e663059189
3;A;The Avengers;PG-13;143;2012;1981-06-13;Chris Evans;Sudbury, Massachusetts, USA;70f6284d2a395396dbb3a60b4cef5e86;1-1857c9f7164a01aae77f7c7e03f75395
45;AVNCF;Up;PG;96;2009;1927-12-13;Christopher Plummer;Toronto, Ontario, Canada;70f6284d2a395396dbb3a60b4cf0bf82;1-e5a0d4dcd916971620d3cfa666f50e92
165;AVST;Captain America: The First Avenger;PG-13;124;2011;1981-06-13;Chris Evans;Sudbury, Massachusetts, USA;70f6284d2a395396dbb3a60b4cef5faf;1-52ac3379ffaf4b0b125fddec4f0d1996
152;AVY;Thor;PG-13;115;2011;1983-08-11;Chris Hemsworth;Melbourne, Victoria, Australia;70f6284d2a395396dbb3a60b4cef712c;1-a2b1d1401a898bffff9d8a83b76b7697
32;AV;Indiana Jones and the Kingdom of the Crystal Skull;PG-13;122;2008;1969-05-14;Cate Blanchett;Melbourne, Victoria, Australia;70f6284d2a395396dbb3a60b4cedf2af;1-8c6419da304d02724257b5e2efb71172
196;DT;Catch Me If You Can;PG-13;141;2002;1943-03-31;Christopher Walken;Queens, New York, USA;70f6284d2a395396dbb3a60b4cf0f3a1;1-f4b0afa4a6186b18b5c63147f98bca59
3;A;The Avengers;PG-13;143;2012;1983-08-11;Chris Hemsworth;Melbourne, Victoria, Australia;70f6284d2a395396dbb3a60b4cef740c;1-c494ddd8933debd6c17da7593c8ea041
74;CYR;Bruce Almighty;PG-13;101;2003;1968-08-14;Catherine Bell;London, England, UK;70f6284d2a395396dbb3a60b4cedff58;1-1fa52f84fd3ae5872b400b1335265fa2
143;AVYRT;Batman Forever;PG-13;122;1995;1970-06-26;Chris O'Donnell;Winnetka, Illinois, USA;70f6284d2a395396dbb3a60b4cef9600;1-da57fd63660b8d244331d16833cba19f
62;AVS;Star Trek;PG-13;127;2009;1980-08-26;Chris Pine;Los Angeles, California, USA;70f6284d2a395396dbb3a60b4cef9fbc;1-83e436bb353f52e40b065d6942fd77a6
13;AYST;Spider-Man;PG-13;121;2002;1925-09-09;Cliff Robertson;La Jolla, California, USA;70f6284d2a395396dbb3a60b4cf163bf;1-3754b93addd06da8ad323277bee37237
90;ACT;Rush Hour 2;PG-13;90;2001;1972-08-31;Chris Tucker;Atlanta, Georgia, USA;70f6284d2a395396dbb3a60b4ceff5f1;1-cd4d8a61beada2680268e20573188257
48;AVDFY;The Chronicles of Narnia: The Lion, the Witch and the Wardrobe;PG;140;2005;1995-07-09;Georgie Henley;Ilkley, Yorkshire, England, UK;70f6284d2a395396dbb3a60b4cff84c8;1-8e6906b42e114d51eaa3e4bd70fdd48f
60;CFY;How the Grinch Stole Christmas;PG;104;2000;1952-05-02;Christine Baranski;Buffalo, New York, USA;70f6284d2a395396dbb3a60b4cf04084;1-ffa6b7519aa99031b8cf43d142f80f9c
95;AVDT;King Kong;PG-13;187;2005;1977-11-24;Colin Hanks;Sacramento, California, USA;70f6284d2a395396dbb3a60b4cf1c3cd;1-e7fe2f4c68115e39465b3dc8ee78c028
88;ACDYT;Hancock;PG-13;92;2008;1975-08-07;Charlize Theron;Benoni, Gauteng, South Africa;70f6284d2a395396dbb3a60b4ceefc54;1-252b726a24ac3b87ea778007d0e3d15e
77;CR;My Big Fat Greek Wedding;PG;96;2002;1964-06-07;Gia Carides;Sydney, New South Wales, Australia;70f6284d2a395396dbb3a60b4cffc672;1-ad5518d7485372e236651b92b918c6f7
